Date,Cases,Deaths,Hospitalisations,Cases_diff,Deaths_diff
2020-07-18,128604.0,956.0,,5196.0,39.0
2020-07-19,133617.0,986.0,,5013.0,30.0
2020-07-20,136879.0,999.0,,3262.0,13.0
2020-07-21,139435.0,1042.0,,2556.0,43.0
2020-07-22,144582.0,1156.0,,5147.0,114.0
2020-07-23,148854.0,1187.0,,4272.0,31.0
2020-07-24,153020.0,1326.0,,4166.0,139.0
2020-07-25,156821.0,1535.0,,3801.0,209.0
2020-07-26,160154.0,1564.0,,3333.0,29.0
2020-07-27,162319.0,1625.0,,2165.0,61.0
2020-07-28,164584.0,1680.0,,2265.0,55.0
2020-07-29,168369.0,1836.0,,3785.0,156.0
2020-07-30,171574.0,1932.0,,3205.0,96.0
2020-07-31,175272.0,2035.0,,3698.0,103.0
2020-08-01,178119.0,2075.0,,2847.0,40.0
2020-08-02,180532.0,2115.0,,2413.0,40.0
2020-08-03,181946.0,2152.0,,1414.0,37.0
2020-08-04,183090.0,2268.0,,1144.0,116.0
2020-08-05,185282.0,2313.0,,2192.0,45.0
2020-08-06,187631.0,2388.0,,2349.0,75.0
2020-08-07,189159.0,2524.0,,1528.0,136.0
2020-08-08,190999.0,2547.0,,1840.0,23.0
2020-08-09,192767.0,2579.0,,1768.0,32.0
2020-08-10,193561.0,2618.0,,794.0,39.0
2020-08-11,194093.0,2653.0,,532.0,35.0
2020-08-12,194685.0,2761.0,,592.0,108.0
2020-08-13,195820.0,2791.0,,1135.0,30.0
2020-08-14,197531.0,2867.0,,1711.0,76.0
2020-08-15,198671.0,2888.0,,1140.0,21.0
2020-08-16,199635.0,2915.0,,964.0,27.0
2020-08-17,200237.0,2929.0,,602.0,14.0
2020-08-18,200949.0,3018.0,,712.0,89.0
2020-08-19,202011.0,3061.0,,1062.0,43.0
2020-08-20,202955.0,3144.0,,944.0,83.0
2020-08-21,203832.0,3190.0,,877.0,46.0
2020-08-22,205246.0,3227.0,,1414.0,37.0
2020-08-23,206018.0,3268.0,,772.0,41.0
2020-08-24,206525.0,3280.0,,507.0,12.0
2020-08-25,206892.0,3334.0,,367.0,54.0
2020-08-26,207610.0,3395.0,,718.0,61.0
2020-08-27,208156.0,3428.0,,546.0,33.0
2020-08-28,208579.0,3475.0,,423.0,47.0
2020-08-29,209123.0,3556.0,,544.0,81.0
2020-08-30,209648.0,3572.0,,525.0,16.0
2020-08-31,210169.0,3592.0,,521.0,20.0
2020-09-01,210518.0,3631.0,,349.0,39.0
2020-09-02,211157.0,3680.0,,639.0,49.0
2020-09-03,211678.0,3730.0,,521.0,50.0
2020-09-04,212186.0,3773.0,,508.0,43.0
2020-09-05,212564.0,3789.0,,378.0,16.0
2020-09-06,212898.0,3813.0,,334.0,24.0
2020-09-07,213087.0,3818.0,,189.0,5.0
2020-09-08,213333.0,3833.0,,246.0,15.0
2020-09-09,213741.0,3860.0,,408.0,27.0
2020-09-10,214152.0,3881.0,,411.0,21.0
2020-09-11,214486.0,3900.0,,334.0,19.0
2020-09-12,214831.0,3912.0,,345.0,12.0
2020-09-13,215140.0,3918.0,,309.0,6.0
2020-09-14,215307.0,3921.0,,167.0,3.0
2020-09-15,215481.0,3933.0,,174.0,12.0
2020-09-16,215898.0,3947.0,,417.0,14.0
2020-09-17,216341.0,3960.0,,443.0,13.0
2020-09-18,216790.0,4027.0,,449.0,67.0
